chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,12.007,13.007,600.0009651015524,600.2220785677375,14.007,14.007,600.0009651015524,600.2220785677375,,,exhaustion,pool-exhaustion,0.301,0.305,0.0,15.0,0,chaos_pool_exhaustion-20260507T052130Z-d9b7e8,chaos_pool_exhaustion,12.007,13.007,awa
,14.007,14.007,599.9721891891285,607.649279983315,16.007,16.007,599.9721891891285,600.1576851301122,,,recovery,clean,0.328,0.346,0.0,15.0,0,chaos_pool_exhaustion-20260507T052130Z-d9b7e8,chaos_pool_exhaustion,14.007,14.007,awa
,114.8195,114.919,455.4561755910219,481.3337975882392,116.037,116.154,458.9319378407237,461.6748354015373,,,baseline,clean,4.029413335956633,4.03469312004745,0.0,49.0,0,chaos_pool_exhaustion-20260507T052130Z-d9b7e8,chaos_pool_exhaustion,114.8195,114.919,pgque
,114.1585,114.919,454.8064479386388,482.72586951830573,115.7195,116.145,458.4822970608334,468.0396547573733,,,exhaustion,pool-exhaustion,4.026448121294379,4.03757905587554,0.0,49.0,0,chaos_pool_exhaustion-20260507T052130Z-d9b7e8,chaos_pool_exhaustion,114.1585,114.919,pgque
,114.376,118.899,452.2853281774278,511.69645400519687,115.63,120.22800000000001,457.4774954236379,500.25911829856955,,,recovery,clean,4.036627011373639,6.103537045419216,0.0,49.0,0,chaos_pool_exhaustion-20260507T052130Z-d9b7e8,chaos_pool_exhaustion,114.376,118.899,pgque
,25.511000000000003,91.007,592.6380915494622,659.9579075142055,27.511000000000003,93.055,599.9952745931053,604.0732127895172,,,baseline,clean,1.63,2.459,0.0,15.0,1,chaos_crash_recovery-20260507T052910Z-d82900,chaos_crash_recovery_awa,25.511000000000003,91.007,awa
,13.007,24.015,300.0104095363997,314.9434446608119,15.007,25.007,300.00250154106175,304.0108071281772,,,kill,kill-worker,0.613,1.683,,,1,chaos_crash_recovery-20260507T052910Z-d82900,chaos_crash_recovery_awa,13.007,24.015,awa
,25.007,57.023,604.0221157474996,875.8475510445537,28.015,59.007,598.2369691630289,603.4958677806865,,,restart,start-worker,1.951,2.691,0.0,15.0,1,chaos_crash_recovery-20260507T052910Z-d82900,chaos_crash_recovery_awa,25.007,57.023,awa
,25.511000000000003,27.007,576.2045247035833,877.3712908197343,27.511000000000003,29.007,599.9821238265214,603.4407578288843,,,recovery,clean,1.876,2.195,0.0,15.0,1,chaos_crash_recovery-20260507T052910Z-d82900,chaos_crash_recovery_awa,25.511000000000003,27.007,awa
,114.3095,114.517,292.30416731636785,308.83726286889635,115.561,115.73700000000001,295.03331587521905,296.4679012665494,,,baseline,clean,4.009178024716675,4.025419009849429,0.0,31.0,0,chaos_crash_recovery-20260507T054418Z-cf1caa,chaos_crash_recovery_pgque_1x,114.3095,114.517,pgque
,,,,,,,,,,,kill,kill-worker,,,,,0,chaos_crash_recovery-20260507T054418Z-cf1caa,chaos_crash_recovery_pgque_1x,,,pgque
,121.773,121.934,771.1663741726179,1523.3587634036808,123.10900000000001,123.23299999999999,246.50767903821327,493.79214509279416,,,restart,start-worker,5.826933076605201,5.968637065961957,0.0,60.0,0,chaos_crash_recovery-20260507T054418Z-cf1caa,chaos_crash_recovery_pgque_1x,121.773,121.934,pgque
