scenario	system	cell_id	run_dir	exit_code	started_at	ended_at
tx_integrity	pgoutput-raw	tx_integrity__pgoutput-raw	cdc-20260719T235150Z-24144e	0	2026-07-19T23:51:50Z	2026-07-19T23:56:12Z
tx_integrity	debezium-server	tx_integrity__debezium-server	cdc-20260719T235613Z-a25ed8	0	2026-07-19T23:56:12Z	2026-07-20T00:00:40Z
tx_integrity	supabase-etl	tx_integrity__supabase-etl	cdc-20260720T000040Z-fa3876	0	2026-07-20T00:00:40Z	2026-07-20T00:05:02Z
tx_integrity	sequin	tx_integrity__sequin	cdc-20260720T001734Z-7a2f1b	0	2026-07-20T00:17:34Z	2026-07-20T00:22:05Z
tx_integrity	sequin-grouped	tx_integrity__sequin-grouped	cdc-20260720T002205Z-c77813	0	2026-07-20T00:22:05Z	2026-07-20T00:26:37Z
tx_integrity	debezium-kafka	tx_integrity__debezium-kafka	cdc-20260720T020431Z-5bd3f2	0	2026-07-20T02:04:31Z	2026-07-20T02:08:58Z
tx_integrity	debezium-kafka	tx_integrity__debezium-kafka	cdc-20260720T022130Z-e64d68	0	2026-07-20T02:21:30Z	2026-07-20T02:25:57Z
