system,workers,run_id,completion_rate_med,enqueue_rate_med,queue_depth_med,claim_p95_ms_med,e2e_p95_ms_med
awa,256,results/custom-20260501T023408Z-b96dcd,4800.0,5000.6,10688.0,4948.0,4950.0
awa,512,results/custom-20260501T023630Z-0954bc,5344.0,5400.2,9616.0,7008.3,7010.3
awa,1024,results/custom-20260501T023900Z-2dc30e,7837.2,6899.5,12704.0,2820.1,2823.2
