chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,1452.031,1604.607,738.3279450383968,2943.7106199993564,1455.103,1606.655,560.2604640021941,1727.8301465213613,,,pressure_1,high-load,2.032,3.949,2193.0,2777.0,0,custom-20260507T152839Z-f141e1,event_burst_awa,1452.031,1604.607,awa
,1434.623,2127.871,731.2843643127692,3257.8438564892394,1437.695,2127.871,448.1492242805517,1919.6825507351564,,,recovery_1,clean,1.877,5.207,2157.0,2615.0,0,custom-20260507T152839Z-f141e1,event_burst_awa,1434.623,2127.871,awa
,451.10249999999996,598.3380000000001,404.2620591366028,719.7622426510833,452.41049999999996,599.665,1199.2703120661922,1273.6903720369855,,,clean_1,clean,1.1163962694505851,2.9411883015806475,0.0,331.0,0,custom-20260507T154048Z-3ea734,event_burst_pgque,451.10249999999996,598.3380000000001,pgque
,790.115,871.86,434.64439725358284,899.2845237485743,791.6220000000001,873.346,1198.288211359981,1467.188643219977,,,pressure_1,high-load,2.1446974327166877,3.1633583984027305,0.0,963.0,0,custom-20260507T154048Z-3ea734,event_burst_pgque,790.115,871.86,pgque
,772.895,861.7289999999999,374.5997896945059,823.8372533752975,774.2005,863.067,1197.413829127463,1332.9918340231538,,,recovery_1,clean,2.0751657662913203,2.6429023360833526,0.0,902.0,0,custom-20260507T154048Z-3ea734,event_burst_pgque,772.895,861.7289999999999,pgque
,1868.799,3723.263,398.3538810079691,1089.2267900884178,1871.871,3725.311,761.4908194666805,2326.8481419648665,,,clean,clean,2.643,6.035,2042.0,3673.0,0,custom-20260507T155236Z-4d76c7,mixed_priority_awa,1868.799,3723.263,awa
,5484.543,6627.327,292.00402308542806,853.2000860851881,5484.543,6631.423,147.98381301258937,810.5254898108662,,,clean,clean,6.967,10.479,2154.0,2982.0,0,custom-20260507T155836Z-0c0896,dlq_retry_smoke_awa,5484.543,6627.327,awa
,,,0.0,0.0,,,286.50500423965656,596.9777936200329,,,clean,clean,8.447,17.167,2067.0,2654.0,0,custom-20260507T160440Z-f96b5b,dlq_terminal_awa,,,awa
,519.963,778.77,127.51404721302973,217.34496044153772,521.141,780.398,599.7942563055749,636.4090810645806,,,clean,clean,4.615011531859636,7.090317473436396,0.0,617.0,0,custom-20260507T160941Z-3b2f4b,dlq_terminal_pgque,519.963,778.77,pgque
,2889.727,4485.119,1854.0919054816627,3038.454431833719,2891.775,4485.119,1919.8962948817357,3205.424451615302,,,clean,clean,1.097,2.691,1881.0,3350.0,0,custom-20260507T161429Z-6fdf83,mixed_queue_awa,2889.727,4485.119,awa
,580.8,1141.726,24119.2046667897,27810.159726374426,586.9799999999999,1143.1480000000001,24236.123628432462,31765.24068828403,,,clean,clean,0.033294785069301724,0.2871550659183413,2000.0,13000.0,0,custom-20260507T162034Z-a0b4d9,mixed_queue_pgque,580.8,1141.726,pgque
